SAl,SAz,DNI,DHI,GHI
48.22,234.24,77603,19112,77360
37.05,247.88,70080,16474,58983
24.88,258.07,56742,12984,36931
29.43,105.78,63127,15945,47177
41.27,117.07,72216,19307,66192
51.73,132.75,76179,20722,80361
59.22,155.85,79408,21709,89768
61.26,186.02,82069,22109,93757
56.8,214.07,82252,20809,89843
47.88,233.95,79476,18408,78166
36.75,247.57,71724,16025,59117
24.59,257.77,57146,12756,36398
29.28,106.2,64009,15881,46973
41.09,117.53,73133,19150,66224
51.48,133.25,77093,20651,80651
58.89,156.27,80300,21552,90006
60.87,186.13,82980,21910,93511
56.42,213.88,83148,20725,89154
47.54,233.65,79911,18367,77856
36.44,247.26,72108,16025,59093
24.31,257.48,57350,12724,36213
28.83,107.45,60801,16334,45062
40.52,118.91,70920,19688,64378
50.73,134.71,76842,20812,79437
57.89,157.49,80539,21642,88845
59.69,186.45,82950,22013,92281
55.27,213.33,77360,23245,85990
46.51,232.78,61914,25613,69548
35.51,246.35,48048,24706,50830
23.44,256.59,38374,18844,32599
28.67,107.87,54571,18637,43360
40.33,119.36,65159,21510,61933
50.47,135.19,70796,23024,76099
57.55,157.88,73430,24300,84551
59.3,186.55,73818,25448,86910
54.89,213.16,71253,26021,82412
46.16,232.5,66148,24495,70800
35.19,246.05,59753,19469,54014
23.14,256.3,46664,13634,34295
28.52,108.28,63696,15413,45968
40.13,119.82,72241,18949,64490
50.22,135.67,74341,21491,78036
57.21,158.27,76427,23193,86629
58.9,186.65,76879,24375,88795
54.5,212.98,73681,25185,83775
45.82,232.22,69327,22323,71473
34.88,245.75,58722,18050,52952
22.85,256.01,40430,15158,31805
28.36,108.7,63362,15328,45576
39.93,120.27,72972,18748,65014
49.95,136.14,77478,20299,79336
56.87,158.64,80588,21271,88543
58.51,186.75,80905,21704,90611
54.12,212.81,77355,20752,83381
45.47,231.94,72737,19278,71603
34.56,245.46,64216,17209,55289
22.56,255.71,49728,13097,34323
28.2,109.11,64131,14654,45077
39.73,120.72,74060,17980,64323
49.69,136.6,78987,20086,79286
56.53,159.01,81214,21223,88114
58.11,186.84,79166,22512,88830
53.73,212.64,73979,23661,82102
45.12,231.66,71261,21488,71253
34.25,245.16,67130,16706,54030
22.27,255.42,53448,12075,32493
27.71,110.35,64944,14525,44787
39.12,122.05,74987,17936,64233
48.89,137.96,79676,20006,79547
55.49,160.08,82621,20807,88781
56.92,187.1,84767,20401,90547
52.57,212.14,84143,19189,85349
44.07,230.85,79120,17784,72021
33.3,244.28,70227,15319,52650
21.38,254.55,54417,11555,32005
27.54,110.76,67235,14375,45725
38.91,122.48,77349,17763,65529
48.62,138.4,81966,19903,81132
55.14,160.42,85322,20733,90528
56.53,187.18,87208,20255,92347
52.18,211.98,86446,18785,86923
43.72,230.59,82103,17128,73221
32.98,243.99,73433,14865,53455
21.09,254.26,57707,11327,32388
27.37,111.16,65867,14178,44825
38.7,122.92,76586,17461,64215
48.34,138.84,81804,19515,79474
54.79,160.76,84629,20377,88543
56.13,187.26,86027,19979,90308
51.8,211.82,85202,18521,85676
43.37,230.32,80809,16868,72346
32.67,243.71,72062,14606,52421
20.8,253.98,55871,11099,31334
27.2,111.57,66126,14039,44646
38.48,123.35,76922,17384,64206
48.07,139.27,81953,19437,79574
54.44,161.08,84928,20235,88835
55.73,187.34,86429,19841,90654
51.41,211.66,86074,18489,85622
43.02,230.06,82066,16871,72266
32.35,243.42,72930,14509,52290
20.5,253.69,56738,10936,31149
27.03,111.97,67023,13935,44867
38.27,123.77,77806,17242,64476
47.79,139.69,82724,19363,79763
54.09,161.4,85958,20163,88862
55.34,187.41,87264,19632,90520
51.03,211.51,85522,18320,83096
42.67,229.81,81027,16742,69612
32.03,243.14,72493,14365,51791
20.21,253.4,56457,10789,30768
26.5,113.16,75047,16809,61919
37.61,125.03,78656,19644,75542
46.94,140.93,79874,20898,83514
53.04,162.32,77674,22024,83594
54.16,187.6,76021,22864,78968
49.88,211.04,70260,22273,67457
41.63,229.04,57165,18927,48399
31.09,242.29,42120,12754,28316
19.34,252.55,22702,6049,11164
26.32,113.55,77964,15920,63328
37.39,125.44,82903,18247,77949
46.66,141.33,85225,19656,86778
52.68,162.61,86052,19322,87457
53.76,187.66,84922,18092,81685
49.5,210.89,79750,16863,70020
41.28,228.79,69601,14836,50400
30.78,242.01,53958,10633,28362
19.05,252.26,30065,5171,11012
26.14,113.94,78188,15900,63411
37.16,125.85,83103,18265,78099
46.37,141.72,84621,19605,86544
52.33,162.89,85421,19211,87161
53.37,187.72,84745,17955,81387
49.11,210.74,80376,16254,68214
40.94,228.55,71043,13785,48972
30.46,241.74,54555,9990,28228
18.76,251.98,29819,5007,10732
25.95,114.33,78996,15872,62388
36.94,126.25,84836,17774,77602
46.09,142.1,87550,19146,86836
51.98,163.17,88590,19216,88794
52.98,187.77,87740,17959,83029
48.74,210.59,83487,16324,69704
40.59,228.3,74027,13918,49931
30.15,241.46,56789,10056,28756
18.48,251.7,30906,4971,10739
25.77,114.71,78300,15736,61552
36.71,126.64,84008,17568,76541
45.8,142.48,86450,18527,84158
51.62,163.44,87383,18563,85951
52.59,187.82,86420,17688,81362
48.36,210.44,81698,16057,68151
40.25,228.05,72161,13653,48666
29.84,241.19,55284,9824,27852
18.19,251.42,29835,4835,10281
25.21,115.84,77592,15428,60142
36.01,127.8,83981,17220,75326
44.93,143.58,86125,18174,82919
50.56,164.2,86655,18148,84609
51.43,187.95,86150,17242,79951
47.23,209.99,81811,15584,66463
39.23,227.33,71655,13123,46794
28.92,240.37,54086,9317,26356
17.35,250.58,28938,4455,9449
25.02,116.21,78099,15053,59873
35.78,128.18,84286,16910,74924
44.63,143.93,86326,17862,82442
50.21,164.44,86831,17803,84129
51.05,187.98,85097,17110,79132
46.86,209.85,79764,15790,65281
38.89,227.09,70431,13256,45872
28.62,240.1,53754,9217,25822
17.07,250.31,28917,4358,9149
24.82,116.58,75559,15980,58432
35.54,128.55,75654,20944,71604
44.34,144.28,68600,25836,76660
49.86,164.67,64675,26897,74983
50.66,188.01,63518,24293,67081
46.49,209.7,63242,19120,56843
38.56,226.85,61100,14250,42604
28.32,239.84,50363,9430,24305
16.79,250.03,28356,4116,8714
24.63,116.94,78336,14985,59232
35.31,128.92,84413,16743,74680
44.04,144.61,86759,17764,82047
49.5,164.9,86885,17837,83393
50.28,188.04,85511,16970,78407
46.13,209.55,80940,15316,64526
38.22,226.62,70482,12858,45000
28.02,239.57,53015,8949,24861
16.52,249.75,28479,4085,8604
24.44,117.3,79790,15368,60087
35.07,129.28,83995,17886,74927
43.75,144.94,83375,20651,81934
49.15,165.12,81752,22250,82956
49.9,188.06,80637,20560,76923
45.76,209.4,76420,17628,64517
37.89,226.38,62983,15221,46256
27.72,239.3,40589,11180,25044
16.25,249.48,17892,5125,8296
23.84,118.34,79672,14132,58659
34.35,130.32,85606,15944,74147
42.86,145.89,87719,16896,81394
48.11,165.73,87767,17158,82177
48.78,188.12,85091,16601,74940
44.68,208.96,79940,14815,60926
36.92,225.69,69870,12195,42996
26.85,238.51,52608,8303,23186
15.46,248.66,28711,3627,7702
23.64,118.68,75174,15690,56636
34.1,130.66,81083,17400,71358
42.57,146.19,86005,17408,79858
47.76,165.92,87797,16899,81884
48.41,188.13,83414,16967,75337
44.33,208.82,71276,17160,60344
36.6,225.46,49981,16836,40034
26.56,238.25,25079,13026,19498
15.2,248.39,8487,5256,5572
23.44,119.02,80980,14187,57994
33.86,130.99,87057,15955,73631
42.27,146.49,90092,16774,82449
47.41,166.1,90372,16767,83484
48.05,188.13,86420,16592,75327
43.98,208.67,79127,15496,60034
36.28,225.23,68136,12474,41782
26.28,237.99,43019,7987,21814
14.94,248.12,12470,3203,6777
23.24,119.35,80316,14016,56744
33.61,131.32,86793,15757,72184
41.97,146.77,90092,16611,81513
47.07,166.28,90423,16561,82888
47.68,188.14,88332,15712,75396
43.63,208.52,83105,14144,61152
35.97,225,72522,11771,43089
26,237.74,46767,7975,22776
14.69,247.85,14025,3251,7209
23.03,119.67,80367,13879,56375
33.37,131.64,86640,15560,71624
41.68,147.05,89367,16353,80838
46.73,166.45,89648,16363,82155
47.32,188.14,87577,15542,74647
43.29,208.37,81406,14242,59981
35.65,224.78,69666,12228,41703
25.72,237.48,44370,8267,21869
14.44,247.58,13362,3285,6777
22.42,120.62,81382,13742,55953
32.63,132.55,87833,15387,71640
40.79,147.84,91137,16146,80876
45.71,166.92,91073,16215,80348
46.25,188.11,88527,15430,72818
42.27,207.92,83542,13842,59719
34.74,224.1,72879,11467,41518
24.91,236.71,46640,7653,21547
13.71,246.78,13898,3019,6480
22.21,120.92,81659,13688,55781
32.38,132.85,88696,15265,71747
40.5,148.09,91902,16112,80957
45.38,167.06,91606,16157,80322
45.9,188.1,88880,15338,72634
41.94,207.78,83426,13742,59430
34.45,223.88,72714,11372,41202
24.65,236.46,46793,7556,21280
13.48,246.51,13949,2923,6345
22,121.22,80825,13449,54836
32.13,133.13,87808,15058,70730
40.21,148.34,91188,15870,80306
45.04,167.2,91073,15916,79742
45.56,188.08,88476,15168,71820
41.61,207.62,83491,13608,58774
34.15,223.66,72726,11239,40675
24.39,236.21,46410,7421,20879
13.25,246.25,13796,2827,6129
21.79,121.51,81835,13449,55046
31.89,133.41,88426,15115,69589
39.91,148.57,91785,15869,79197
44.71,167.33,92063,15824,80037
45.22,188.06,89385,15100,72004
41.29,207.47,83881,13574,58800
33.86,223.43,72890,11205,40569
24.13,235.96,46665,7354,20719
13.02,245.99,13847,2793,6021
21.58,121.8,80937,13415,54325
31.64,133.69,87644,15058,70201
39.62,148.8,90576,15870,79350
44.38,167.45,90780,15882,78711
44.88,188.03,88358,15066,70994
40.97,207.32,82467,13474,57717
33.58,223.21,70712,11072,39517
23.88,235.71,44625,7236,19944
12.8,245.72,13158,2715,5691
20.95,122.63,11665,17750,23593
30.9,134.47,19558,24976,37283
38.75,149.43,34819,28100,51648
43.42,167.78,57177,25919,63259
43.88,187.94,72172,20276,65091
40.04,206.86,70272,15807,53108
32.75,222.56,58092,12771,34795
23.16,234.97,35818,7860,17306
12.15,244.95,10480,2633,4721
20.74,122.89,70176,15856,49877
30.65,134.71,69607,21760,63002
38.47,149.63,67315,25648,69162
43.1,167.88,56909,29459,67205
43.56,187.9,35715,32178,55394
39.73,206.71,16167,28574,37966
32.48,222.34,6627,20304,22884
22.92,234.73,3245,10616,11256
11.95,244.69,979,2996,3128
20.53,123.15,81684,12859,53026
30.4,134.95,88375,14508,67148
38.18,149.82,91279,15284,75101
42.79,167.97,91506,15263,75836
43.24,187.85,89158,14521,69300
39.44,206.56,83426,13038,56201
32.22,222.12,71950,10640,38169
22.69,234.48,45594,6797,18877
11.75,244.44,13413,2453,5157
20.31,123.4,79613,12655,51266
30.16,135.18,86355,14268,65336
37.9,150,89284,15042,73159
42.47,168.05,89486,15091,73894
42.93,187.81,87560,14352,67515
39.14,206.4,81677,12837,54600
31.96,221.91,69717,10441,36852
22.47,234.24,44115,6609,18120
11.56,244.19,13005,2338,4902
20.1,123.65,50093,24367,46217
29.91,135.41,49421,29730,56898
37.62,150.18,44753,31709,59514
42.17,168.13,48660,29303,59117
42.62,187.76,64495,22592,60425
38.86,206.24,69360,16562,51990
31.71,221.69,56456,13231,35036
22.25,234,32977,8427,18152
11.36,243.93,9161,2881,4964
19.47,124.35,79705,12315,49888
29.18,136.04,86204,13958,63630
36.79,150.66,89158,14732,71374
41.27,168.33,87250,15760,73049
41.71,187.59,79978,16188,64806
38.02,205.77,72685,14117,49665
30.98,221.05,63291,11055,33692
21.62,233.29,40010,6903,16649
10.82,243.19,11730,2249,4331
19.26,124.57,79679,12145,49767
28.94,136.24,86355,13718,63537
36.52,150.8,89360,14490,71006
40.97,168.38,89638,14507,71768
41.42,187.53,87163,13807,65415
37.75,205.61,81561,12368,52845
30.74,220.84,69564,10007,35471
21.42,233.05,42891,6269,16927
10.65,242.94,12317,2144,4276
19.04,124.78,25857,23353,34213
28.7,136.43,26466,29962,44268
36.25,150.94,28892,33112,51832
40.68,168.43,32656,33141,54604
41.13,187.46,27534,30692,47978
37.49,205.46,15908,25468,34205
30.51,220.63,6006,16889,19208
21.23,232.82,1019,7335,7418
10.49,242.7,0,1566,1566
18.83,124.99,78054,12621,48577
28.46,136.61,85119,14454,62514
35.98,151.07,84354,16480,69669
40.4,168.47,80971,17285,69716
40.85,187.39,80104,15812,63143
37.23,205.3,75582,14103,50748
30.29,220.42,64770,11288,34036
21.04,232.59,41361,6479,16291
10.33,242.46,12317,2026,4122
18.62,125.19,78056,12909,48628
28.22,136.78,86792,13976,63097
35.72,151.2,90345,14456,71153
40.12,168.51,91170,14438,72001
40.57,187.32,89276,13705,65641
36.98,205.14,83232,12234,52735
30.08,220.21,70635,9840,35019
20.86,232.36,43784,6043,16550
10.18,242.22,12699,1991,4113
18,125.75,80396,11589,47618
27.52,137.27,87618,13174,61609
34.94,151.53,90698,13991,69405
39.3,168.58,90976,13975,70219
39.77,187.09,88577,13200,63945
36.26,204.65,82517,11818,51214
29.46,219.59,70171,9540,33767
20.34,231.68,43580,5804,15790
9.75,241.52,12597,1859,3868
17.79,125.93,80320,11521,47409
27.29,137.41,87542,13072,61163
34.69,151.62,90572,13837,68906
39.03,168.6,90799,13889,69694
39.52,187,88451,13166,63473
36.03,204.49,82568,11685,51078
29.27,219.39,70399,9340,33735
20.18,231.46,43835,5668,15602
9.62,241.29,12699,1824,3759
17.59,126.09,81482,11453,47619
27.06,137.55,88830,13038,61583
34.44,151.71,91961,13837,69484
38.78,168.61,91582,14229,70219
39.27,186.92,86986,14490,63578
35.81,204.33,75245,14520,49954
29.08,219.18,54100,13055,32672
20.03,231.24,27190,9076,15437
9.49,241.06,6572,3366,3611
17.39,126.25,81835,11386,47408
26.84,137.69,89259,12935,61399
34.2,151.8,92440,13666,69353
38.52,168.61,92718,13651,70193
39.02,186.83,90269,12930,63866
35.59,204.17,84083,11551,51288
28.9,218.98,71489,9273,33874
19.88,231.02,44421,5576,15661
9.37,240.83,12852,1739,3732
17.18,126.41,81053,11452,46830
26.61,137.81,89663,12731,61163
33.95,151.87,92642,13563,69064
38.27,168.61,92870,13616,69904
38.78,186.73,90446,12930,63630
35.38,204,84706,11551,51077
28.72,218.78,72089,9273,33661
19.74,230.81,44498,5576,15473
9.26,240.61,12852,1739,3623
16.59,126.82,76811,11655,44336
25.96,138.14,86229,12970,58459
33.25,152.06,87239,14840,65383
37.55,168.57,77275,19924,64776
38.1,186.44,53818,25997,55731
34.79,203.51,28741,25622,40033
28.23,218.19,14010,18298,23661
19.35,230.17,6608,9084,10279
8.95,239.96,1846,2366,2366
16.39,126.95,67014,13571,41606
25.75,138.24,80245,14364,56228
33.03,152.11,85547,14858,64470
37.33,168.55,86456,14703,65546
37.89,186.34,84790,13554,59771
34.6,203.35,79378,11785,47808
28.08,217.99,66785,9172,31160
19.23,229.96,40418,5301,14048
8.86,239.74,11424,1570,3189
16.2,127.07,69917,12218,41055
25.54,138.33,77896,14434,54574
32.81,152.15,80459,16228,63215
37.1,168.52,78030,17291,64310
37.68,186.24,74533,16302,57113
34.42,203.19,66938,14533,44336
27.93,217.8,55390,11532,28576
19.12,229.76,36134,6113,13095
8.77,239.54,11297,1546,3106
16.01,127.18,78553,11250,43954
25.33,138.41,86860,12867,57881
32.59,152.18,90597,13563,65966
36.88,168.49,91026,13514,66964
37.48,186.13,88931,12761,61058
34.25,203.02,83603,11284,49009
27.8,217.61,71079,8939,32106
19.01,229.56,43832,5303,14612
8.7,239.33,12674,1606,3351
15.82,127.29,69665,12680,41108
25.13,138.49,81103,14128,55545
32.38,152.21,85107,15623,65075
36.67,168.45,82901,17057,66790
37.28,186.02,77129,16862,58428
34.08,202.86,68175,15301,44746
27.67,217.42,53404,12390,28800
18.91,229.36,30916,7097,12942
8.62,239.13,8747,1945,2970
15.26,127.56,51605,19613,39177
24.54,138.68,61746,23234,52940
31.76,152.26,62985,25955,59613
36.07,168.31,61583,26158,59613
36.73,185.68,56352,24950,53111
33.63,202.37,49278,21693,41268
27.31,216.86,39991,14157,26531
18.65,228.77,21571,6198,11582
8.44,238.54,4876,1602,2339
15.08,127.64,40696,20435,34083
24.35,138.72,38052,23469,40568
31.57,152.27,37547,25820,46619
35.88,168.26,41461,27412,50765
36.57,185.56,42784,26568,47623
33.49,202.21,43750,22726,39374
27.21,216.67,39676,15555,27197
18.58,228.59,24895,7331,12385
8.39,238.35,7319,1874,2616
14.91,127.71,73236,11273,40227
24.17,138.77,80710,13601,53569
31.38,152.27,81507,15491,60533
35.7,168.2,80573,16040,61294
36.4,185.44,79361,14856,56228
33.36,202.05,74223,12658,44940
27.11,216.49,59517,9865,28612
18.51,228.4,34119,5674,12512
8.35,238.17,9461,1605,2749
14.73,127.77,76581,10901,40921
23.98,138.8,84815,12603,55125
31.2,152.26,89809,13275,63812
35.52,168.13,90794,13241,64941
36.25,185.32,88550,12491,59270
33.23,201.89,82697,11084,47488
27.02,216.31,69309,8766,30708
18.45,228.22,42228,5101,13724
8.31,237.99,12062,1510,3052
14.56,127.83,63776,7561,24130
23.81,138.83,80045,10523,41841
31.02,152.25,88587,12029,55915
35.35,168.07,92208,12694,64157
36.1,185.2,92642,12657,65482
33.11,201.73,90117,11973,59731
26.93,216.14,83666,10725,47568
18.39,228.04,70253,8568,30761
8.28,237.81,42917,5040,13779
14.07,127.95,60501,7387,22684
23.3,138.88,76526,10412,40018
30.51,152.18,85730,11988,54115
34.88,167.84,89555,12728,62051
35.69,184.82,88422,12959,62720
32.8,201.25,82580,13180,56122
26.72,215.62,75010,12543,44441
18.27,227.52,64169,9681,29289
8.22,237.3,39604,5346,13254
13.91,127.98,60321,7283,22378
23.14,138.88,77010,10309,39991
30.36,152.14,86190,11851,54303
34.73,167.76,90168,12557,62397
35.57,184.69,91429,12556,64002
32.71,201.09,89159,11940,58649
26.66,215.46,82747,10725,46799
18.24,227.36,69705,8568,30460
8.22,237.14,42488,5040,13607
13.76,128.01,62297,7213,22620
22.98,138.88,78642,10240,40286
30.21,152.1,87618,11748,54394
34.6,167.67,91469,12421,62514
35.46,184.56,92004,12421,64051
32.63,200.94,89531,11807,58645
26.61,215.29,83130,10626,47012
18.21,227.2,69743,8535,30495
8.22,236.98,42653,5040,13590
13.61,128.02,57299,7835,21786
22.83,138.87,73823,11427,38834
30.06,152.05,80861,14155,52391
34.47,167.58,78821,17599,60276
35.35,184.43,73797,19996,61640
32.56,200.78,73007,18416,55764
26.57,215.13,71375,14561,44383
18.2,227.04,61226,10461,29113
8.22,236.83,37256,5778,13079
13.46,128.03,35024,10157,20370
22.69,138.85,48272,18050,34559
29.92,152,45028,24815,44591
34.34,167.48,34246,27971,46421
35.25,184.3,23592,28369,41972
32.49,200.63,23252,27028,38557
26.53,214.97,32775,23114,34769
18.19,226.89,41066,14934,25105
8.23,236.69,31410,6345,11894
13.05,128.02,49649,7179,21030
22.28,138.76,75786,10344,38168
29.54,151.82,85349,11953,52258
34.01,167.18,89607,12612,60818
35,183.9,90168,12730,62328
32.33,200.17,88103,12093,57293
26.46,214.52,82824,10560,46322
18.19,226.45,70074,8302,30230
8.3,236.27,42840,4904,13617
12.92,128,47532,7073,20196
22.15,138.72,71936,10652,36758
29.42,151.75,79892,12862,50085
33.91,167.08,83079,13888,58009
34.93,183.76,84660,13604,60023
32.29,200.02,82697,13035,55491
26.45,214.37,73746,12529,44282
18.21,226.32,58625,10367,28287
8.33,236.15,35777,5816,12624
12.79,127.98,49700,7039,20573
22.03,138.68,58992,15375,33780
29.31,151.67,36218,24288,38670
33.82,166.97,21709,26496,38210
34.87,183.62,19346,25650,36552
32.26,199.88,19564,23828,33411
26.45,214.23,25654,18814,27524
18.23,226.18,32872,11866,19628
8.37,236.02,26087,5441,9954
12.67,127.95,46793,6813,19365
21.92,138.62,66147,11541,34525
29.21,151.59,66744,16126,46362
33.74,166.85,63603,20342,53284
34.81,183.49,58467,23634,54335
32.24,199.73,49918,23936,47921
26.46,214.09,40342,21508,36897
18.26,226.06,28236,17151,24044
8.41,235.91,13448,9609,10906
12.55,127.91,50414,6674,20328
21.81,138.57,76755,9759,37691
29.11,151.5,86241,11405,51891
33.66,166.74,90347,12182,60394
34.77,183.35,91214,12218,62434
32.22,199.59,89072,11649,57532
26.47,213.95,82952,10503,46454
18.29,225.93,70298,8435,30541
8.46,235.79,43492,5007,13881
12.23,127.76,3063,5197,5631
21.51,138.36,9064,10033,12726
28.86,151.22,13494,14281,20229
33.48,166.37,11748,18520,24770
34.67,182.93,9842,21238,26491
32.22,199.17,11922,20059,26035
26.55,213.57,12252,16772,21554
18.43,225.59,7926,11599,13483
8.65,235.49,2910,5297,5769
12.13,127.7,39627,7896,18037
21.42,138.28,65969,11696,35150
28.79,151.11,78489,13716,49680
33.43,166.25,78084,16519,57720
34.65,182.8,74340,18067,59557
32.23,199.04,75740,15715,54943
26.59,213.45,72803,12955,43884
18.49,225.49,64362,10002,29411
8.72,235.4,42942,5473,14161
12.04,127.64,52122,6429,20138
21.34,138.19,79203,9552,37634
28.72,151.01,88995,11200,52364
33.39,166.12,93279,11977,61507
34.64,182.66,94172,12016,63812
32.25,198.9,92081,11482,59069
26.63,213.33,86190,10404,47833
18.56,225.39,73568,8436,31667
8.8,235.32,45875,5100,14698
11.95,127.56,52352,6429,20138
21.27,138.1,79213,9552,37740
28.67,150.89,88653,11200,52550
33.36,165.99,92945,11977,61745
34.64,182.52,94318,12049,64130
32.28,198.77,92667,11549,59466
26.68,213.22,86675,10437,48230
18.63,225.29,73950,8469,31987
8.88,235.24,46155,5169,14887
11.87,127.48,52301,6429,19976
21.2,138.01,79688,9552,37633
28.62,150.78,89531,11303,52523
33.34,165.86,92768,12373,61387
34.65,182.38,91607,13095,63184
32.31,198.65,87315,13299,58144
26.74,213.11,78428,12693,46594
18.7,225.2,62577,10796,30315
8.97,235.17,37077,6541,13895
11.65,127.21,52632,6394,19841
21.02,137.69,80300,9552,37633
28.51,150.41,89990,11200,52762
33.31,165.45,93854,12011,61914
34.71,181.97,95129,12117,64129
32.46,198.28,93381,11616,59799
26.96,212.81,86980,10536,48893
18.97,224.97,74460,8602,32706
9.26,234.98,46997,5271,15475
11.59,127.11,52658,6394,19759
20.98,137.57,80049,9552,37659
28.48,150.28,89991,11200,52947
33.31,165.31,94410,12011,62204
34.75,181.83,95167,12117,64444
32.53,198.16,93046,11574,59929
27.04,212.72,87567,10494,49209
19.06,224.9,76060,8636,33344
9.36,234.93,48399,5375,15878
11.53,127,51741,6290,19544
20.94,137.45,78856,9449,37260
28.47,150.14,89057,11166,52166
33.33,165.16,93526,11977,61425
34.79,181.7,94435,12049,64050
32.6,198.05,92314,11540,59614
27.14,212.63,86557,10494,48866
19.17,224.84,74816,8636,33079
9.48,234.89,47481,5375,15798
11.48,126.89,51102,6290,19141
20.9,137.32,77867,9415,36621
28.46,150,87643,11063,51349
33.35,165.02,91986,11841,60506
34.84,181.56,92794,11948,63131
32.68,197.93,90597,11549,58774
27.23,212.55,84461,10536,48101
19.28,224.78,72266,8636,32383
9.59,234.85,45862,5375,15474
11.44,126.77,49802,6254,18737
20.88,137.19,76217,9449,36036
28.45,149.86,86204,11166,50986
33.37,164.87,90850,11977,60526
34.9,181.43,92440,12049,63388
32.76,197.83,91086,11582,59281
27.34,212.47,85578,10536,48601
19.4,224.73,72956,8703,32759
9.71,234.82,45135,5501,15671
