SAl,SAz,DNI,DHI,GHI
45.52,177.57,72197,25584,73576
43.79,198.06,76507,20017,65918
37.99,215.89,68657,17367,50642
29.31,230.08,61159,11439,31228
18.81,241.26,40620,4999,12627
16.35,116.29,84815,10412,48271
27.19,126.9,92572,12149,65573
36.43,140.31,94750,14004,76502
43.07,157.36,93154,16219,81076
45.87,177.57,90204,17013,77774
44.12,198.21,88764,15003,67451
38.28,216.13,85168,11720,52264
29.55,230.36,72695,8429,32306
19.02,241.55,44869,4493,13447
16.58,116.01,58375,17698,43374
27.45,126.64,64236,22444,57501
36.73,140.09,71375,23158,69096
43.4,157.22,84761,18768,77315
46.22,177.58,93496,13973,77030
44.45,198.36,92920,11950,68171
38.57,216.38,86052,10427,52362
29.8,230.65,71737,8098,32325
19.23,241.85,43223,4523,13394
17.29,115.19,12257,25337,30557
28.26,125.85,13264,32310,40325
37.65,139.41,18868,35720,49097
44.43,156.81,31345,34389,56069
47.28,177.62,54779,27259,63007
45.45,198.87,74537,18476,63017
39.45,217.17,75710,13155,50032
30.54,231.54,63637,9498,31041
19.86,242.77,38651,4966,13139
17.54,114.91,84048,11173,50327
28.54,125.59,91819,13001,67787
37.97,139.18,95369,14051,79527
44.77,156.67,96834,14331,84217
47.65,177.65,96573,13937,81329
45.79,199.06,93866,12905,71126
39.74,217.45,87032,11268,54696
30.79,231.85,73211,8737,34108
20.07,243.08,44855,4936,14581
17.79,114.63,84150,11344,50748
28.82,125.32,92276,13071,68503
38.28,138.95,95698,14157,80216
45.13,156.54,97061,14472,84853
48.01,177.67,96980,14041,82071
46.13,199.25,94051,12974,71667
40.03,217.73,87242,11296,55104
31.03,232.16,73695,8765,34586
20.28,243.4,45084,4996,14823
18.04,114.35,85462,11310,51620
29.1,125.05,92945,13140,69090
38.6,138.72,96198,14227,80719
45.48,156.4,97410,14577,85234
48.38,177.71,97036,14215,82241
46.47,199.45,93829,13178,72004
40.33,218.02,86986,11497,55493
31.28,232.48,73225,8939,34874
20.48,243.73,45073,5105,15120
18.3,114.07,58960,20280,46772
29.39,124.78,59619,27004,61657
38.93,138.49,57762,31508,70578
45.84,156.27,58272,33033,74338
48.75,177.74,66580,29477,74976
46.82,199.65,76380,21683,69356
40.62,218.32,76582,14984,54125
31.52,232.81,61529,10823,32732
20.69,244.06,33176,5911,13449
19.08,113.22,58880,17867,44662
30.26,123.97,51109,26717,56073
39.92,137.79,42448,31757,61628
46.93,155.87,41186,33555,63756
49.87,177.87,46561,30425,61722
47.85,200.31,53599,23296,55323
41.5,219.26,58070,17212,46794
32.25,233.83,52925,11736,31442
21.3,245.07,32733,6239,13377
19.35,112.93,86072,12064,54749
30.56,123.69,93476,13905,72822
40.25,137.55,97263,15000,84721
47.3,155.74,98475,15315,88856
50.25,177.93,97566,14875,85260
48.2,200.55,94484,13928,74655
41.79,219.59,86726,12668,57793
32.49,234.18,69845,10507,36411
21.5,245.42,40214,6412,15808
19.62,112.65,81978,12270,53034
30.86,123.42,86649,14637,69856
40.59,137.32,86454,16170,79624
47.68,155.61,82239,18555,80989
50.63,177.98,74402,21681,75401
48.55,200.79,70108,20526,65840
42.08,219.92,64140,16417,51902
32.73,234.53,46550,12271,31782
21.7,245.77,23551,6721,13176
19.89,112.36,11405,16412,22373
31.16,123.14,14420,21982,31290
40.93,137.08,14428,24860,35669
48.05,155.48,18453,27003,40987
51.01,178.05,30036,27757,48972
48.89,201.04,39826,25516,49908
42.37,220.26,40761,21322,40747
32.97,234.89,35398,14162,26693
21.9,246.13,21725,6241,11753
20.16,112.07,78693,13577,52841
31.46,122.86,80700,17864,68632
41.27,136.84,72282,23078,74197
48.43,155.34,63168,26351,72080
51.4,178.11,57697,26385,66645
49.24,201.29,51952,24157,56517
42.66,220.61,45028,20592,43181
33.2,235.26,36824,14541,27712
22.1,246.48,24310,7004,12588
21,111.2,82697,12543,55412
32.38,122.02,88679,14893,73254
42.3,136.11,89941,16777,83801
49.57,154.95,86683,19472,86177
52.56,178.33,75649,23818,79920
50.29,202.11,58670,26393,64567
43.53,221.69,41242,24235,44896
33.9,236.38,29167,17816,26843
22.68,247.58,17677,9858,12595
